event_type,attendance,location_type,weather_factor,density_veh_per_km,queue_length_veh,label
Accident,388,Urban,74.3575,57.61,26.03,Heavy
Accident,28,Rural,79.7525,56.83,22.19,Heavy
Construction,678,Urban,179.8486,31.5,10.13,Moderate
Parade,73092,Suburban,28.5692,90.75,59.42,Gridlock
Concert,21816,Highway,184.9313,31.49,11.48,Moderate
Concert,57819,Suburban,72.8274,59.74,29.85,Heavy
Sporting Event,80297,Urban,155.287,28.94,10.54,Moderate
Construction,199,Urban,171.9433,35.35,7.02,Moderate
Other,125,Suburban,83.0071,62.09,27.0,Heavy
Accident,646,Suburban,277.3788,10.26,4.0,Free-flow
Concert,52288,Urban,171.1015,31.52,11.0,Moderate
Sporting Event,66274,Rural,75.273,62.57,25.23,Heavy
Accident,532,Suburban,25.3742,92.46,62.33,Gridlock
Sporting Event,10042,Urban,271.3409,10.33,2.0,Free-flow
Accident,49,Urban,164.2995,30.85,10.38,Moderate
Concert,9840,Urban,22.3177,93.68,59.71,Gridlock
Construction,558,Urban,258.7534,9.15,2.18,Free-flow
Other,592,Suburban,21.2749,92.68,63.67,Gridlock
Construction,935,Highway,169.3342,34.39,8.12,Moderate
Other,1,Urban,73.0418,58.84,26.48,Heavy
Construction,184,Rural,159.731,29.14,10.87,Moderate
Concert,81717,Urban,67.4698,62.42,26.59,Heavy
Construction,708,Suburban,187.6156,26.27,12.13,Moderate
Parade,44891,Suburban,157.3523,29.55,10.52,Moderate
Parade,34868,Highway,287.9256,8.12,2.38,Free-flow
Concert,16950,Suburban,283.8373,8.13,2.27,Free-flow
Construction,657,Urban,148.7313,28.77,6.91,Moderate
Accident,860,Suburban,151.4842,27.86,6.98,Moderate
Construction,209,Urban,162.0972,31.65,8.31,Moderate
Sporting Event,90031,Urban,175.4232,30.57,10.33,Moderate
Accident,321,Urban,296.1555,10.64,2.63,Free-flow
Construction,284,Suburban,184.2915,30.74,7.7,Moderate
Concert,34027,Suburban,169.7948,36.28,10.41,Moderate
Parade,92803,Urban,296.8223,10.76,2.0,Free-flow
Accident,385,Urban,69.3057,61.31,24.67,Heavy
Sporting Event,23535,Highway,277.8761,11.99,3.52,Free-flow
Construction,319,Highway,85.236,60.97,21.63,Heavy
Construction,249,Highway,285.7465,12.06,0.85,Free-flow
Concert,14624,Rural,155.637,31.96,11.21,Moderate
Construction,527,Rural,165.2944,28.11,9.47,Moderate
Accident,964,Suburban,151.3964,28.75,10.69,Moderate
Accident,250,Suburban,175.8031,33.66,10.92,Moderate
Concert,58985,Suburban,84.0071,59.45,23.65,Heavy
Accident,124,Rural,292.6617,10.06,1.71,Moderate
Accident,55,Rural,21.7096,93.98,62.52,Gridlock
Parade,54001,Urban,169.5189,25.72,8.32,Moderate
Accident,371,Urban,23.4638,88.44,55.37,Gridlock
Construction,561,Urban,254.1161,12.63,1.96,Free-flow
Sporting Event,95479,Urban,166.054,28.42,11.67,Moderate
Construction,357,Urban,151.5192,31.26,8.79,Moderate
Other,527,Highway,101.6255,61.03,22.97,Heavy
Parade,22146,Suburban,160.5589,35.87,10.98,Moderate
Accident,355,Highway,72.028,55.77,24.79,Heavy
Parade,68132,Suburban,270.913,6.54,3.23,Free-flow
Concert,4432,Urban,163.4242,29.06,9.7,Moderate
Sporting Event,66099,Highway,27.1051,91.6,58.18,Gridlock
Construction,465,Suburban,88.3839,58.18,22.91,Heavy
Concert,17766,Urban,260.1631,9.2,2.4,Free-flow
Sporting Event,39968,Urban,275.7395,12.49,1.23,Free-flow
Construction,543,Urban,153.6389,34.47,13.48,Moderate
Sporting Event,62782,Urban,172.7635,34.2,10.99,Moderate
Parade,64925,Highway,293.1696,8.48,2.32,Free-flow
Concert,90985,Rural,159.0881,30.92,12.18,Moderate
Accident,9,Highway,22.3942,89.28,57.3,Gridlock
Parade,28296,Suburban,86.6054,56.55,23.57,Heavy
Sporting Event,96646,Urban,73.8139,60.17,17.46,Heavy
Sporting Event,58333,Highway,295.3519,10.86,3.93,Free-flow
Concert,66560,Suburban,266.2756,10.25,2.32,Free-flow
Parade,75925,Suburban,168.6844,27.59,11.96,Moderate
Accident,555,Highway,80.5021,59.26,23.5,Heavy
Construction,435,Urban,314.527,10.31,1.5,Free-flow
Construction,886,Urban,73.8376,63.08,24.04,Heavy
Accident,225,Rural,288.458,7.51,2.1,Free-flow
Construction,907,Suburban,267.1205,11.16,2.22,Free-flow
Other,978,Urban,257.7453,11.98,2.68,Free-flow
Parade,91178,Urban,79.4958,56.5,24.63,Heavy
Sporting Event,11102,Suburban,76.8143,57.95,21.74,Heavy
Sporting Event,93736,Suburban,31.017,88.1,59.35,Gridlock
Construction,892,Highway,92.7598,56.52,23.67,Heavy
Construction,969,Rural,178.7774,27.47,10.44,Moderate
Construction,827,Suburban,157.1888,26.64,11.4,Moderate
Construction,197,Urban,295.4898,11.36,2.78,Free-flow
Sporting Event,9549,Rural,20.6194,92.19,60.14,Gridlock
Accident,492,Urban,163.1639,28.01,10.05,Moderate
Concert,93144,Suburban,64.634,61.41,22.66,Heavy
Sporting Event,8459,Urban,303.6439,9.74,1.1,Free-flow
Construction,333,Urban,61.624,64.01,24.25,Heavy
Other,203,Highway,268.3078,6.31,1.31,Free-flow
Accident,263,Suburban,94.1561,58.84,26.13,Heavy
Accident,749,Suburban,25.7217,92.48,60.99,Gridlock
Construction,35,Highway,141.1123,33.73,9.66,Moderate
Concert,73833,Urban,99.4255,61.76,24.47,Heavy
Construction,230,Urban,74.3279,60.71,22.46,Heavy
Parade,12777,Suburban,291.7383,10.46,2.97,Free-flow
Concert,37994,Highway,77.4009,60.21,27.45,Heavy
Accident,424,Suburban,262.2924,5.9,0.99,Free-flow
Construction,225,Highway,279.6538,9.46,1.33,Free-flow
Accident,48,Urban,284.5952,6.83,0.54,Free-flow
Concert,2663,Rural,20.8908,97.33,63.59,Gridlock
Concert,21543,Suburban,176.6347,29.35,9.43,Moderate
Sporting Event,53962,Highway,298.2502,8.62,0.72,Free-flow
Construction,532,Highway,19.6179,90.51,63.65,Gridlock
Concert,1951,Urban,270.5673,9.61,1.44,Free-flow
Construction,440,Highway,168.941,29.95,8.56,Moderate
Concert,70754,Urban,270.9431,11.83,2.93,Free-flow
Other,959,Suburban,95.074,61.58,24.5,Heavy
Accident,600,Highway,76.6415,62.29,26.85,Heavy
Construction,950,Rural,290.5028,8.92,1.98,Free-flow
Accident,291,Highway,97.1199,57.48,26.22,Heavy
Construction,706,Urban,78.6393,58.17,27.67,Heavy
